GEO_ID,NAME(zip),S1903_C01_001E(num_households),S1903_C03_001E(median_indome),S1903_C03_001M(income_SE)
860Z200US55947,ZCTA5 55947,3185,74558,4536
860Z200US55949,ZCTA5 55949,771,66985,7446
860Z200US55950,ZCTA5 55950,53,39464,15171
860Z200US55951,ZCTA5 55951,576,57500,12330
860Z200US55952,ZCTA5 55952,900,86042,8254
860Z200US55953,ZCTA5 55953,343,52188,10445
860Z200US55954,ZCTA5 55954,524,64000,4050
860Z200US55955,ZCTA5 55955,942,115833,10967
860Z200US55956,ZCTA5 55956,866,82353,8284
860Z200US55957,ZCTA5 55957,298,67500,13510
860Z200US55959,ZCTA5 55959,867,58295,13114
860Z200US55960,ZCTA5 55960,1188,107955,6697
860Z200US55961,ZCTA5 55961,183,78542,14011
860Z200US55962,ZCTA5 55962,324,59063,9585
860Z200US55963,ZCTA5 55963,2209,82847,9741
860Z200US55964,ZCTA5 55964,1743,67420,9832
860Z200US55965,ZCTA5 55965,978,56125,7538
860Z200US55967,ZCTA5 55967,352,92813,9604
860Z200US55968,ZCTA5 55968,73,53125,16052
860Z200US55969,ZCTA5 55969,407,81484,5868
860Z200US55970,ZCTA5 55970,397,78125,11177
860Z200US55971,ZCTA5 55971,1114,68561,4445
860Z200US55972,ZCTA5 55972,2013,91715,9545
860Z200US55973,ZCTA5 55973,97,78750,24063
860Z200US55974,ZCTA5 55974,968,54338,4827
860Z200US55975,ZCTA5 55975,1779,70625,8589
860Z200US55976,ZCTA5 55976,3175,84346,5409
860Z200US55977,ZCTA5 55977,67,57813,11914
860Z200US55979,ZCTA5 55979,368,76500,16198
860Z200US55981,ZCTA5 55981,1655,65096,10910
860Z200US55982,ZCTA5 55982,251,128125,51035
860Z200US55983,ZCTA5 55983,699,75085,11059
860Z200US55985,ZCTA5 55985,657,72292,7260
860Z200US55987,ZCTA5 55987,14273,53496,3580
860Z200US55990,ZCTA5 55990,397,69844,10659
860Z200US55991,ZCTA5 55991,603,85917,5711
860Z200US55992,ZCTA5 55992,2334,73056,24035
860Z200US56001,ZCTA5 56001,19459,59759,3559
860Z200US56003,ZCTA5 56003,6307,76484,6532
860Z200US56007,ZCTA5 56007,9011,55450,4274
860Z200US56009,ZCTA5 56009,577,73487,5005
860Z200US56010,ZCTA5 56010,513,66625,10720
860Z200US56011,ZCTA5 56011,3425,91661,9070
860Z200US56013,ZCTA5 56013,2002,53777,5291
860Z200US56014,ZCTA5 56014,282,47500,18303
860Z200US56016,ZCTA5 56016,378,68750,10796
860Z200US56017,ZCTA5 56017,720,85081,12371
860Z200US56019,ZCTA5 56019,344,58333,5360
860Z200US56020,ZCTA5 56020,39,63750,30446
860Z200US56021,ZCTA5 56021,449,83646,9864
860Z200US56022,ZCTA5 56022,40,55000,31350
860Z200US56023,ZCTA5 56023,222,69583,9196
860Z200US56024,ZCTA5 56024,1239,80739,7613
860Z200US56025,ZCTA5 56025,193,75893,6138
860Z200US56026,ZCTA5 56026,762,80313,10231
860Z200US56027,ZCTA5 56027,294,44674,6753
860Z200US56028,ZCTA5 56028,464,84167,10378
860Z200US56029,ZCTA5 56029,270,56875,8841
860Z200US56030,ZCTA5 56030,7,41875,19674
860Z200US56031,ZCTA5 56031,5213,54558,10073
860Z200US56032,ZCTA5 56032,145,54688,23942
860Z200US56033,ZCTA5 56033,160,57955,8452
860Z200US56034,ZCTA5 56034,159,74271,14333
860Z200US56035,ZCTA5 56035,187,56964,13395
860Z200US56036,ZCTA5 56036,756,65625,6332
860Z200US56037,ZCTA5 56037,659,73295,22521
860Z200US56039,ZCTA5 56039,359,74519,6321
860Z200US56041,ZCTA5 56041,423,75208,8614
860Z200US56042,ZCTA5 56042,334,69375,21932
860Z200US56043,ZCTA5 56043,175,72841,10404
860Z200US56044,ZCTA5 56044,774,95104,6470
860Z200US56045,ZCTA5 56045,367,64375,5290
860Z200US56046,ZCTA5 56046,47,68125,19592
860Z200US56048,ZCTA5 56048,1676,72315,8539
860Z200US56050,ZCTA5 56050,525,75139,9312
860Z200US56051,ZCTA5 56051,297,44417,4710
860Z200US56052,ZCTA5 56052,252,82188,8146
860Z200US56054,ZCTA5 56054,361,83750,15596
860Z200US56055,ZCTA5 56055,1600,78636,11912
860Z200US56056,ZCTA5 56056,33,40313,17363
860Z200US56057,ZCTA5 56057,1510,74297,3612
860Z200US56058,ZCTA5 56058,2523,71406,7522
860Z200US56060,ZCTA5 56060,168,58125,13572
860Z200US56062,ZCTA5 56062,1190,65268,8497
860Z200US56063,ZCTA5 56063,1143,101107,4844
860Z200US56065,ZCTA5 56065,994,74917,5056
860Z200US56068,ZCTA5 56068,403,68558,7269
860Z200US56069,ZCTA5 56069,1897,68542,9233
860Z200US56071,ZCTA5 56071,4418,99545,5724
860Z200US56072,ZCTA5 56072,871,67679,3800
860Z200US56073,ZCTA5 56073,7121,64466,5570
860Z200US56074,ZCTA5 56074,692,82188,6840
860Z200US56075,ZCTA5 56075,73,38750,14225
860Z200US56078,ZCTA5 56078,192,65833,14235
860Z200US56080,ZCTA5 56080,280,88250,11592
860Z200US56081,ZCTA5 56081,2443,54976,8628
860Z200US56082,ZCTA5 56082,4683,67772,7645
860Z200US56083,ZCTA5 56083,352,53500,3075
860Z200US56085,ZCTA5 56085,2108,62031,7127
860Z200US56087,ZCTA5 56087,1306,60952,5955
860Z200US56088,ZCTA5 56088,868,63641,3638
860Z200US56089,ZCTA5 56089,98,48750,3882
860Z200US56090,ZCTA5 56090,274,71875,10185
