"zcta","ZIPName","LandSQMI","afact"
"ZIP census tabulation area","ZIP Code name","Land area (square miles)","zcta-to-zcta allocation factor"
"55741","Gilbert, MN",69.7133,1 
"55742","Goodland, MN",36.8536,1 
"55744","Grand Rapids, MN",239.3865,1 
"55746","Hibbing, MN",346.9779,1 
"55748","Hill City, MN",152.7144,1 
"55749","Holyoke, MN",86.8616,1 
"55750","Hoyt Lakes, MN",175.0659,1 
"55751","Iron, MN",60.2065,1 
"55752","Jacobson, MN",174.6669,1 
"55753","Keewatin, MN",0.88,1 
"55756","Kerrick, MN",45.0825,1 
"55757","Kettle River, MN",103.4254,1 
"55758","Kinney, MN",1.6848,1 
"55760","Mcgregor, MN",302.4586,1 
"55763","Makinen, MN",160.3567,1 
"55764","Marble, MN",3.7079,1 
"55765","Meadowlands, MN",141.0211,1 
"55767","Moose Lake, MN",56.4782,1 
"55768","Mountain Iron, MN",89.2902,1 
"55769","Nashwauk, MN",175.4495,1 
"55771","Orr, MN",1115.4386,1 
"55772","Nett Lake, MN",0.2056,1 
"55775","Pengilly, MN",62.0806,1 
"55779","Saginaw, MN",123.4962,1 
"55780","Sawyer, MN",18.817,1 
"55781","Side Lake, MN",81.4248,1 
"55782","Soudan, MN",10.7827,1 
"55783","Sturgeon Lake, MN",137.7942,1 
"55784","Swan River, MN",25.3583,1 
"55785","Swatara, MN",113.3573,1 
"55786","Taconite, MN",2.5473,1 
"55787","Tamarack, MN",135.2048,1 
"55790","Tower, MN",143.6041,1 
"55792","Virginia, MN",95.6617,1 
"55793","Warba, MN",78.804,1 
"55795","Willow River, MN",86.6192,1 
"55796","Winton, MN",0.2191,1 
"55797","Wrenshall, MN",65.6544,1 
"55798","Wright, MN",103.4403,1 
"55802","Duluth, MN",2.5899,1 
"55803","Duluth, MN",295.4499,1 
"55804","Duluth, MN",94.0484,1 
"55805","Duluth, MN",1.4433,1 
"55806","Duluth, MN",3.4223,1 
"55807","Duluth, MN",5.7889,1 
"55808","Duluth, MN",12.0237,1 
"55810","Proctor, MN",47.3236,1 
"55811","Duluth, MN",64.5107,1 
"55812","Duluth, MN",1.936,1 
"55814","Hermantown, MN",0.0781,1 
"55901","Rochester, MN",33.0769,1 
"55902","Rochester, MN",41.1447,1 
"55903","Rochester, MN",0.0739,1 
"55904","Rochester, MN",60.1266,1 
"55905","Mayo Clinic, Rochester, MN",0.0598,1 
"55906","Rochester, MN",61.4913,1 
"55909","Adams, MN",52.6138,1 
"55910","Altura, MN",88.7619,1 
"55912","Austin, MN",187.9616,1 
"55917","Blooming Prairie, MN",133.5702,1 
"55918","Brownsdale, MN",28.0836,1 
"55919","Brownsville, MN",44.8327,1 
"55920","Byron, MN",68.722,1 
"55921","Caledonia, MN",175.1813,1 
"55922","Canton, MN",32.7797,1 
"55923","Chatfield, MN",126.1438,1 
"55924","Claremont, MN",76.7431,1 
"55925","Dakota, MN",30.7758,1 
"55926","Dexter, MN",61.1693,1 
"55927","Dodge Center, MN",80.1461,1 
"55929","Dover, MN",44.022,1 
"55931","Eitzen, MN",18.3197,1 
"55932","Elgin, MN",52.4399,1 
"55933","Elkton, MN",21.0745,1 
"55934","Eyota, MN",78.5073,1 
"55935","Fountain, MN",50.4116,1 
"55936","Grand Meadow, MN",86.7361,1 
"55939","Harmony, MN",92.3308,1 
"55940","Hayfield, MN",93.0212,1 
"55941","Hokah, MN",26.5634,1 
"55943","Houston, MN",170.6152,1 
"55944","Kasson, MN",59.2917,1 
"55945","Kellogg, MN",102.4374,1 
"55946","Kenyon, MN",131.2939,1 
"55947","La Crescent, MN",73.3108,1 
"55949","Lanesboro, MN",113.9022,1 
"55950","Lansing, MN",0.3174,1 
"55951","Le Roy, MN",73.1485,1 
"55952","Lewiston, MN",66.3776,1 
"55953","Lyle, MN",35.3678,1 
"55954","Mabel, MN",72.533,1 
"55955","Mantorville, MN (PO Boxes)",34.2336,1 
"55956","Mazeppa, MN",54.6675,1 
"55957","Millville, MN",41.0728,1 
"55959","Minnesota City, MN",36.4794,1 
"55960","Oronoco, MN",35.0189,1 
"55961","Ostrander, MN",29.6988,1 
"55962","Peterson, MN",63.1639,1 
"55963","Pine Island, MN",80.6066,1 
"55964","Plainview, MN",88.8545,1 
"55965","Preston, MN",108.4696,1 
"55967","Racine, MN",36.5766,1 
"55968","Reads Landing, MN",1.6035,1 
"55969","Rollingstone, MN",29.1115,1 
"55970","Rose Creek, MN",61.0176,1 
"55971","Rushford, MN",84.3214,1 
"55972","St. Charles, MN",88.2603,1 
"55973","Sargeant, MN",29.7542,1 
"55974","Spring Grove, MN",82.4548,1 
"55975","Spring Valley, MN",160.1003,1 
"55976","Stewartville, MN",91.0428,1 
"55977","Taopi, MN",23.9776,1 
"55979","Utica, MN",59.3055,1 
"55981","Wabasha, MN",50.9495,1 
"55982","Waltham, MN",27.8164,1 
"55983","Wanamingo, MN",37.6125,1 
"55985","West Concord, MN",80.1189,1 
"55987","Winona, MN",157.2075,1 
"55990","Wykoff, MN",43.2014,1 
"55991","Zumbro Falls, MN",54.0846,1 
"55992","Zumbrota, MN",72.7918,1 
"56001","Mankato, MN",114.5196,1 
"56003","North Mankato, MN",43.9843,1 
"56007","Albert Lea, MN",169.2954,1 
"56009","Alden, MN",96.7299,1 
"56010","Amboy, MN",81.7596,1 
"56011","Belle Plaine, MN",102.2592,1 
"56013","Blue Earth, MN",169.2185,1 
"56014","Bricelyn, MN",76.5649,1 
"56016","Clarks Grove, MN",25.8119,1 
"56017","Cleveland, MN",29.1466,1 
"56019","Comfrey, MN",99.1353,1 
"56020","Conger, MN",0.063,1 
"56021","Courtland, MN",35.7788,1 
"56022","Darfur, MN",0.1371,1 
"56023","Delavan, MN",57.1354,1 
"56024","Eagle Lake, MN",18.5555,1 
"56025","Easton, MN",51.7609,1 
"56026","Ellendale, MN",103.5265,1 
"56027","Elmore, MN",54.8759,1 
"56028","Elysian, MN",17.8846,1 
"56029","Emmons, MN",42.0331,1 
"56030","Essig, MN",0.019,1 
"56031","Fairmont, MN",156.3222,1 
"56032","Freeborn, MN",3.0743,1 
"56033","Frost, MN",34.3971,1 
"56034","Garden City, MN",28.3374,1 
"56035","Geneva, MN",0.5438,1 
"56036","Glenville, MN",116.9889,1 
"56037","Good Thunder, MN",73.9554,1 
"56039","Granada, MN",92.4582,1 
"56041","Hanska, MN",72.676,1 
"56042","Hartland, MN",53.446,1 
"56043","Hayward, MN",20.757,1 
"56044","Henderson, MN",82.846,1 
"56045","Hollandale, MN",29.1885,1 
"56046","Hope, MN (PO Boxes)",1.9716,1 
"56048","Janesville, MN",122.4173,1 
"56050","Kasota, MN",23.1292,1 
"56051","Kiester, MN",29.4259,1 
"56052","Kilkenny, MN",50.7198,1 
"56054","Lafayette, MN",53.6125,1 
"56055","Lake Crystal, MN",118.1658,1 
"56056","La Salle, MN",1.0215,1 
"56057","Le Center, MN",85.2004,1 
"56058","Le Sueur, MN",126.721,1 
"56060","Lewisville, MN",35.6754,1 
"56062","Madelia, MN",124.3581,1 
"56063","Madison Lake, MN",40.0314,1 
"56065","Mapleton, MN",116.2754,1 
"56068","Minnesota Lake, MN",65.3094,1 
"56069","Montgomery, MN",71.1945,1 
"56071","New Prague, MN",85.927,1 
"56072","New Richland, MN",120.9644,1 
"56073","New Ulm, MN",200.6074,1 
"56074","Nicollet, MN",77.8204,1 
"56075","Northrop, MN",0.0535,1 
